Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
BZRAP1	4	-0.0010344	-0.0089597	0.7901	0.95718	0.99285	0.99673
TCN1	4	-0.062275	-0.55081	0.99548	0.99905	0.58176	0.7467
RND3	4	0.11576	1.2832	0.38883	0.80971	0.19941	0.50365
PRAC2	4	0.24419	0.41794	0.11057	0.52268	0.67599	0.80542
CCDC86	4	-0.7364	-2.3467	0.072039	0.42655	0.018938	0.26235
ADGRA1	4	0.071609	0.44874	0.53391	0.88503	0.65362	0.7896
CCT4	4	-2.5741	-4.4969	9.9433e-05	0.0097087	6.8959e-06	0.003176
MPL	4	0.17344	1.1537	0.23745	0.69402	0.24861	0.52847
RAB29	4	-0.28811	-1.1459	0.4566	0.84885	0.25182	0.53015
BRD9	4	-0.81415	-2.6994	0.051109	0.36134	0.0069464	0.14592
CARTPT	4	-0.070621	-0.70712	0.96793	0.99394	0.47949	0.70394
LDAH	4	-0.17494	-0.86899	0.68052	0.93741	0.38485	0.62888
ATP2B3	4	0.080079	0.38788	0.50442	0.87327	0.69811	0.8208
CORO1B	4	-0.057016	-0.9831	0.98847	0.9988	0.32556	0.58373
SH3BGRL3	4	-0.015755	-0.10258	0.84618	0.97026	0.9183	0.95619
SLC27A3	4	-0.15469	-1.4626	0.72815	0.94662	0.14358	0.5
RAPGEFL1	4	-0.1276	-1.9288	0.79939	0.95977	0.05376	0.43704
FAM84A	4	0.23075	1.1893	0.13075	0.56074	0.23431	0.52082
RAC3	4	-0.027359	-0.26793	0.88501	0.97681	0.78876	0.87978
IFIH1	4	0.10668	0.83949	0.41732	0.82788	0.40119	0.6417
P2RY10	4	0.09707	0.56212	0.4472	0.84254	0.57404	0.74266
HMSD	4	0.23695	1.4324	0.12151	0.54438	0.15203	0.5
GK2	4	0.050087	0.61248	0.60739	0.9163	0.54022	0.73541
OR10J3	4	0.085846	0.85393	0.48538	0.86391	0.39314	0.63606
ASMTL	4	0.2116	1.1338	0.16118	0.60586	0.25688	0.53357
OR10A5	4	0.15978	1.0771	0.26862	0.72566	0.28145	0.55062
SARAF	4	-0.15879	-1.2586	0.71791	0.94474	0.20817	0.50679
PHF6	4	-0.010691	-0.10812	0.82649	0.96584	0.9139	0.95348
RNF182	4	-0.25808	-1.2015	0.50661	0.8749	0.22955	0.51751
DCUN1D2	4	0.21191	1.4152	0.16078	0.60524	0.157	0.5
GSX2	4	0.079644	0.52285	0.50626	0.87462	0.60108	0.75468
TIAL1	4	0.48765	1.3362	0.0044248	0.083799	0.18147	0.5008
DIS3L2	4	-0.17268	-1.3692	0.68624	0.93891	0.17093	0.5
SPCS3	4	-0.28979	-0.91264	0.45381	0.84719	0.36143	0.61093
FAM69B	4	-0.022634	-0.21558	0.86934	0.97385	0.82931	0.90376
UBE2E1	4	0.38666	1.5325	0.015213	0.18149	0.12539	0.5
TMEM110-MUSTN1	4	-0.17957	-0.89288	0.67023	0.93617	0.37192	0.61848
OR4F16	4	-0.9034	-2.1621	0.033459	0.27844	0.030608	0.33903
SLC9A7	4	-0.026934	-0.24259	0.88307	0.97648	0.80833	0.89038
BEAN1	4	0.14992	0.90523	0.29492	0.74893	0.36534	0.61391
IFI44L	4	0.46374	1.3796	0.0054191	0.093562	0.16771	0.5
CBY3	4	0.041206	0.60028	0.63901	0.92742	0.54832	0.73651
NDUFV1	4	-1.9539	-4.0443	0.00024858	0.01506	5.2476e-05	0.0083065
XKR8	4	-0.017511	-0.14988	0.85135	0.97053	0.88086	0.93374
TWISTNB	4	-1.0331	-2.6137	0.019091	0.20734	0.008956	0.1677
ATN1	4	0.35169	1.4877	0.024809	0.23876	0.13682	0.5
GAS8	4	-0.065533	-0.44329	0.98494	0.99834	0.65756	0.79246
TCEAL4	4	-0.17548	-0.46267	0.67938	0.93701	0.6436	0.78268
CNBD1	4	0.20041	0.99033	0.18077	0.62806	0.32201	0.58095
IFT20	4	-0.24333	-1.619	0.53421	0.88516	0.10544	0.5
KIAA1324L	4	0.31704	1.3185	0.041315	0.31659	0.18735	0.50162
SLC37A4	4	0.21699	1.098	0.15278	0.59497	0.2722	0.54505
PPP1R15B	4	-0.75705	-2.259	0.06498	0.4054	0.023883	0.29656
PSKH2	4	-0.063689	-0.69522	0.99105	0.9988	0.48692	0.70912
ANXA2	4	-0.10974	-0.46612	0.84881	0.97027	0.64113	0.78074
METAP2	4	-0.84641	-2.1533	0.044198	0.3278	0.031293	0.34283
RPL3	4	-2.0336	-2.8719	0.00014915	0.0097087	0.0040806	0.10403
AGAP3	4	-0.0083794	-0.053887	0.81829	0.96421	0.95702	0.97669
PWWP2A	4	-0.080727	-0.36387	0.93572	0.98551	0.71595	0.83212
PIGT	4	0.13535	0.97168	0.33186	0.77544	0.33121	0.58773
APOL6	4	-0.00026152	-0.0026125	0.78771	0.95699	0.99792	0.99948
ESYT3	4	-0.22503	-1.7255	0.57144	0.90326	0.084442	0.5
FAM185A	4	-0.00673	-0.049048	0.81202	0.96309	0.96088	0.97899
EIF3F	4	-0.5772	-1.2299	0.14124	0.57744	0.21873	0.51188
PPIAL4F	4	-1.5853	-2.5014	0.0017898	0.052174	0.012369	0.20477
TESK1	4	-0.10037	-0.87839	0.87581	0.97498	0.37973	0.62516
HIST1H4K	4	-0.37703	-1.9164	0.32664	0.77115	0.055319	0.44119
ANXA6	4	0.22135	1.5194	0.14453	0.58137	0.12867	0.5
RBMS1	4	0.11814	0.81256	0.38148	0.8054	0.41647	0.65353
ACTA1	4	0.23675	1.6273	0.12181	0.54453	0.10367	0.5
ZNRF1	4	0.0038179	0.057455	0.77275	0.95414	0.95418	0.97524
MMP1	4	0.12564	1.6157	0.35866	0.79216	0.10617	0.5
DNAJC25	4	0.32899	1.2716	0.034454	0.28355	0.20353	0.50534
ASCC2	4	0.067749	0.94565	0.54793	0.89275	0.34432	0.59751
KLHL31	4	0.38556	0.82793	0.015412	0.183	0.40771	0.64684
OR13A1	4	0.26808	1.6008	0.080789	0.44877	0.10942	0.5
FBXO6	4	-0.016321	-0.11297	0.84787	0.97026	0.91006	0.95164
ETV4	4	0.060644	0.46608	0.56935	0.90209	0.64116	0.78074
CASR	4	-0.10496	-0.54712	0.86308	0.97249	0.5843	0.74752
OLR1	4	-0.15884	-0.70789	0.71771	0.9447	0.47902	0.70369
TMEM145	4	-0.065127	-0.4611	0.98603	0.99839	0.64472	0.78352
CKAP2	4	-0.11257	-1.4465	0.84111	0.96981	0.14805	0.5
AAMP	4	-1.1955	-2.3457	0.008601	0.125	0.018992	0.26291
TM2D1	4	-0.040749	-0.34378	0.93184	0.98516	0.73101	0.84247
METRN	4	-0.085856	-1.2226	0.91991	0.98274	0.2215	0.51342
PGLYRP2	4	0.10712	0.75608	0.41608	0.82739	0.4496	0.68194
ANK1	4	0.15189	1.2028	0.28965	0.74492	0.22905	0.51727
HAVCR1	4	-0.077694	-0.97211	0.94616	0.98822	0.331	0.58767
BICD2	4	-0.16948	-1.3321	0.69365	0.94092	0.18282	0.50155
TBX20	4	0.21821	1.1997	0.15054	0.59175	0.23026	0.518
ST8SIA3	4	0.33148	1.5532	0.033459	0.27844	0.12037	0.5
HELT	4	0.039224	0.24074	0.64632	0.9289	0.80975	0.89129
CACNA1E	4	0.13982	0.78898	0.32082	0.76803	0.43013	0.66538
CCDC23	4	0.040616	0.25836	0.6412	0.92766	0.79613	0.88401
CFHR3	4	0.0075073	0.040841	0.75962	0.95167	0.96742	0.98289
PTH1R	4	0.15562	1.2582	0.28065	0.7376	0.20833	0.50679
PSMD2	4	-1.0371	-1.9264	0.018942	0.20684	0.054059	0.4374
UBAC2	4	0.16921	1.6577	0.24674	0.70377	0.097384	0.5
LOX	4	0.35127	1.4639	0.025007	0.24032	0.14323	0.5
ZSCAN10	4	-0.68738	-2.4741	0.088943	0.46759	0.013359	0.21479
GTSE1	4	-0.004769	-0.0295	0.80481	0.96231	0.97647	0.98789
CROCC	4	-0.17702	-1.989	0.67585	0.93674	0.046707	0.4111
XPO4	4	0.35192	1.3362	0.024809	0.23876	0.1815	0.5008
RPL39L	4	0.0066106	0.032903	0.76335	0.95303	0.97375	0.98652
MTG2	4	-2.1041	-4.0257	0.00014915	0.0097087	5.6815e-05	0.0084556
ELOF1	4	-0.23808	-0.71771	0.54474	0.89131	0.47294	0.69941
OR5H15	4	0.058436	0.62346	0.57691	0.90546	0.53299	0.73443
AGR2	4	0.16668	1.1531	0.25251	0.71015	0.24887	0.52847
ABCB9	4	-0.035384	-0.3641	0.9131	0.98125	0.71578	0.83197
COL9A1	4	-0.038028	-0.40883	0.92254	0.98295	0.68267	0.81005
FBF1	4	-0.13859	-1.1587	0.76941	0.95338	0.2466	0.52806
GRAMD4	4	-0.095328	-0.59207	0.89177	0.97849	0.5538	0.73794
HIST1H2BB	4	-0.0036474	-0.024946	0.80054	0.9604	0.9801	0.98984
ZNF177	4	0.20758	1.3065	0.16909	0.61674	0.19137	0.50206
USP35	4	-0.054962	-1.1146	0.98131	0.99722	0.26503	0.54025
TRIM43	4	-0.66007	-1.7482	0.098638	0.49366	0.080424	0.5
C10orf54	4	0.04759	0.57977	0.61569	0.91979	0.56207	0.74047
UPRT	4	0.02851	0.27757	0.68718	0.93906	0.78135	0.87525
ZNF256	4	-0.35505	-1.9238	0.35478	0.79104	0.054381	0.43788
KLC1	4	0.052276	1.0168	0.59923	0.91318	0.30927	0.57156
PMF1	4	-1.3934	-1.9451	0.0035299	0.073575	0.051763	0.42881
HNF4G	4	0.11531	1.4102	0.38988	0.81021	0.15848	0.5
PRPF31	4	-1.3156	-2.5774	0.0048722	0.088688	0.0099555	0.17959
LDHB	4	0.14003	0.66373	0.31983	0.76693	0.50686	0.72238
SPAG6	4	0.26571	1.2472	0.083673	0.45499	0.21234	0.50864
TRNAU1AP	4	-0.17562	-1.6867	0.67913	0.93701	0.091658	0.5
KCTD2	4	0.0027458	0.022674	0.77647	0.95535	0.98191	0.99086
DET1	4	0.027642	0.26936	0.69007	0.9396	0.78765	0.87893
BCKDK	4	0.032756	0.16463	0.67157	0.93625	0.86923	0.92743
RNASEH2A	4	-0.73485	-2.2627	0.072537	0.42798	0.023654	0.29604
GIP	4	-0.027957	-0.8945	0.88714	0.97733	0.37105	0.61788
ZNF333	4	-0.048359	-0.43995	0.95814	0.99166	0.65997	0.79397
ZHX2	4	0.25383	1.2141	0.098489	0.4934	0.2247	0.51464
TAF7L	4	0.039978	0.29645	0.64343	0.92776	0.76688	0.86618
VTCN1	4	0.22486	1.5571	0.13926	0.57418	0.11945	0.5
ZNF474	4	0.23007	1.4215	0.1316	0.56185	0.15516	0.5
TSPY8	4	0.33182	1.5816	0.03331	0.27842	0.11375	0.5
OR3A2	4	-0.096931	-1.3989	0.88625	0.97688	0.16185	0.5
AP2M1	4	-0.82345	-2.5052	0.048822	0.35134	0.012238	0.20366
PCDHB12	4	0.012667	0.10241	0.74197	0.94873	0.91843	0.95624
DROSHA	4	-0.81689	-1.6867	0.050661	0.35982	0.091665	0.5
SDCCAG3	4	-0.12053	-0.61043	0.81893	0.96421	0.54158	0.73579
MME	4	0.23755	0.47363	0.12026	0.54208	0.63576	0.77702
UNC50	4	-0.39369	-1.3806	0.30635	0.75709	0.16741	0.5
USP17L2	4	-0.29475	-1.7922	0.44561	0.84221	0.073098	0.49699
SEC61A1	4	-1.2849	-3.13	0.0053694	0.093562	0.0017482	0.063941
DHCR24	4	0.3215	1.5125	0.038779	0.30568	0.1304	0.5
PCDH9	4	0.050248	0.57088	0.60684	0.91614	0.56808	0.74137
ZDHHC23	4	0.06489	0.1991	0.55648	0.89575	0.84218	0.91078
FER1L5	4	-0.018031	-0.38035	0.85344	0.9712	0.70368	0.82415
CASP14	4	0.27091	1.5915	0.077856	0.44044	0.1115	0.5
IFI27L1	4	-0.081495	-0.37646	0.93348	0.98516	0.70658	0.8259
ZNF837	4	-0.33092	-2.0974	0.38893	0.80975	0.035961	0.36337
TMEM74B	4	-0.02827	-0.16805	0.88829	0.97741	0.86654	0.92603
HYDIN	4	0.19033	0.96331	0.20205	0.65512	0.33539	0.59088
RCAN2	4	0.25791	1.331	0.09297	0.47916	0.18317	0.50158
SSR3	4	0.37605	1.2289	0.017401	0.19575	0.2191	0.51197
ZW10	4	-0.74039	-1.8483	0.070647	0.42342	0.064564	0.47001
SFT2D2	4	-0.43248	-1.6989	0.26106	0.7207	0.089344	0.5
C1QTNF3	4	0.30157	1.482	0.053346	0.37218	0.13833	0.5
KRT6C	4	0.061094	0.66817	0.56806	0.90146	0.50402	0.72071
PIK3R3	4	-0.30378	-1.692	0.4298	0.83333	0.090641	0.5
SCX	4	-0.10094	-1.0051	0.87427	0.97498	0.31487	0.5753
RORA	4	-0.033422	-0.30004	0.90648	0.98083	0.76414	0.86518
CDK5R1	4	-0.32702	-1.7539	0.3953	0.8144	0.079453	0.5
MRGPRD	4	0.023084	0.32721	0.70538	0.9422	0.74351	0.85048
CCL16	4	0.014931	0.18785	0.73461	0.94774	0.85099	0.91588
OTUD1	4	0.16939	1.2072	0.24649	0.70377	0.22736	0.5161
ATP5J2-PTCD1	4	-1.3141	-3.1845	0.0048722	0.088688	0.0014498	0.057065
C6orf48	4	-0.22594	-1.5095	0.56985	0.90209	0.13118	0.5
PNOC	4	0.096971	1.1413	0.44755	0.8428	0.25373	0.53148
POMT2	4	-0.015057	-0.13751	0.84349	0.97014	0.89063	0.93998
PAX3	4	0.17079	1.2318	0.24282	0.69914	0.21802	0.51164
GAB3	4	0.1044	1.3932	0.42383	0.83018	0.16357	0.5
CNTN1	4	-0.044088	-0.79411	0.94327	0.98715	0.42713	0.66245
TMPRSS2	4	0.038135	0.35302	0.65034	0.93057	0.72407	0.8374
TEAD4	4	-0.19156	-1.5771	0.64284	0.92776	0.11477	0.5
ALOX15B	4	-0.19324	-1.7415	0.63886	0.92742	0.081597	0.5
PCSK1N	4	0.12675	1.5285	0.35577	0.79162	0.12638	0.5
GLB1L2	4	0.10564	1.1154	0.4209	0.82974	0.26467	0.54003
CIR1	4	-0.18097	-1.0025	0.6666	0.93595	0.31612	0.57652
NXF2B	4	-0.16251	-1.8251	0.70965	0.94339	0.067982	0.48097
RDH16	4	0.051346	0.56263	0.60296	0.9149	0.57369	0.74245
C11orf58	4	-0.06189	-0.23023	0.99667	0.99905	0.81791	0.89624
HYPK	4	-1.8725	-4.0228	0.0002983	0.015345	5.7505e-05	0.0084556
PDCD2L	4	-0.12188	-1.1352	0.815	0.96403	0.2563	0.53303
ALOXE3	4	0.10152	1.0629	0.43383	0.83658	0.28783	0.55473
SLMO2	4	-1.209	-2.7128	0.0078552	0.11862	0.0066724	0.14232
RFPL4AL1	4	-0.060578	-0.26163	0.99935	0.99975	0.79361	0.8824
USP6	4	-0.2444	-0.6407	0.53192	0.88426	0.52172	0.73082
CTSF	4	-0.16154	-1.4535	0.71184	0.94339	0.14609	0.5
PMEL	4	0.093892	0.48754	0.45779	0.84897	0.62587	0.77055
ZFAND6	4	0.16891	1.0425	0.24739	0.70474	0.29717	0.56249
RXFP1	4	0.092205	1.2116	0.46346	0.85132	0.22567	0.51527
R3HCC1L	4	0.105	0.72456	0.42239	0.82974	0.46872	0.69553
IFNA6	4	0.043748	0.23082	0.63056	0.92622	0.81746	0.89624
SPN	4	-0.089281	-0.53268	0.90912	0.98096	0.59426	0.75156
NOMO3	4	-0.13677	-0.70082	0.77439	0.95488	0.48342	0.70679
SEMA4G	4	0.19902	1.2225	0.1839	0.63194	0.22154	0.51342
TRPS1	4	0.12297	0.90717	0.36691	0.79754	0.36432	0.61307
CD101	4	-0.052588	-0.40496	0.97281	0.99492	0.68551	0.81208
ZCWPW1	4	0.021376	0.17561	0.71209	0.94339	0.8606	0.92217
HMGCR	4	-0.83513	-2.6234	0.046336	0.33793	0.0087045	0.16498
WDFY1	4	-0.015337	-0.17408	0.84439	0.97014	0.8618	0.92287
ZMYM4	4	0.24499	1.1658	0.10963	0.52115	0.24368	0.52681
VPREB1	4	-0.088695	-0.95264	0.91111	0.98106	0.34077	0.59499
C5orf67	4	0.075983	0.77971	0.5181	0.87898	0.43556	0.67031
ZXDA	4	0.29744	1.4812	0.056279	0.38166	0.13855	0.5
TAF12	4	-0.70106	-1.9211	0.083474	0.45427	0.054714	0.43968
RLTPR	4	0.1047	0.71718	0.42294	0.82974	0.47326	0.69962
RNF139	4	0.24709	1.539	0.10699	0.51471	0.12381	0.5
SELENBP1	4	-0.014575	-0.14343	0.84116	0.96981	0.88595	0.93696
NAP1L3	4	-0.050978	-0.26526	0.96739	0.99394	0.79081	0.88099
TMTC2	4	0.15333	1.3157	0.28577	0.74114	0.18826	0.50162
LHX6	4	0.025459	1.0347	0.69802	0.94169	0.30079	0.56451
SMIM24	4	-0.30444	-1.3679	0.42871	0.83285	0.17136	0.5
OTUB2	4	0.12252	1.1671	0.36825	0.79851	0.24318	0.52666
NCAPH	4	-0.35935	-1.2326	0.34946	0.78812	0.21772	0.51119
SLC39A4	4	-0.035514	-0.59613	0.91354	0.98131	0.55109	0.73666
MORC2	4	-0.17782	-0.88712	0.67381	0.93655	0.37501	0.6206
MMACHC	4	-0.062798	-0.6229	0.99379	0.9988	0.53335	0.73476
MRPS12	4	-2.1447	-4.0673	0.00014915	0.0097087	4.7564e-05	0.0083065
CXCL16	4	0.13174	1.1718	0.3416	0.78115	0.24127	0.52577
CSNK1G2	4	0.27474	1.1249	0.073929	0.43105	0.26064	0.53684
MAP3K9	4	-0.046883	-0.46652	0.95366	0.99086	0.64084	0.78054
SCN4B	4	0.089694	0.93716	0.47256	0.85725	0.34868	0.60011
ELFN2	4	-0.038455	-0.63997	0.92373	0.98323	0.52219	0.73107
FMNL1	4	0.0032176	0.026393	0.77493	0.95509	0.97894	0.98922
GPR137	4	0.28767	1.025	0.062842	0.39912	0.30536	0.56741
CDKN1C	4	-0.11119	-1.511	0.84444	0.97014	0.13078	0.5
RUNX1	4	-0.7109	-2.3834	0.080292	0.44762	0.017152	0.24714
MAPK15	4	-0.3288	-1.5721	0.39221	0.81185	0.11594	0.5
PTGR1	4	0.10783	1.0408	0.41404	0.82613	0.29798	0.56298
DYNC2H1	4	0.26991	1.4368	0.078851	0.44277	0.15078	0.5
FSCN3	4	0.060324	0.75486	0.5703	0.90238	0.45033	0.68254
C17orf100	4	0.048497	0.49747	0.61251	0.9179	0.61886	0.76578
HECA	4	0.080435	0.87405	0.50343	0.87327	0.38209	0.62687
HCLS1	4	0.0065885	0.052365	0.7634	0.95303	0.95824	0.97738
ARHGEF10	4	0.11113	1.3644	0.4043	0.82122	0.17243	0.5
CHCHD3	4	-0.14296	-0.8835	0.75882	0.95167	0.37696	0.62277
ZFP36L1	4	-0.3122	-1.6006	0.41658	0.82787	0.10947	0.5
ICAM1	4	-0.011401	-0.077213	0.82912	0.96635	0.93845	0.96676
MBTPS1	4	-1.1113	-2.0305	0.012926	0.16393	0.04231	0.39468
SLC25A16	4	0.25188	1.3776	0.10102	0.50037	0.16834	0.5
DEFB108B	4	0.16033	1.2954	0.26708	0.72501	0.19517	0.50316
OR1F1	4	-0.055676	-0.53873	0.98369	0.99803	0.59007	0.75049
EIF4B	4	-0.51828	-1.9267	0.18052	0.62806	0.054022	0.4374
RALGDS	4	0.34846	1.3132	0.026101	0.24544	0.1891	0.50185
MLH1	4	0.056318	0.44839	0.58352	0.90625	0.65387	0.78981
WDR5	4	-1.0139	-1.8547	0.020682	0.21655	0.063644	0.46754
SEC11A	4	0.35616	1.4806	0.023069	0.22925	0.1387	0.5
SCO1	4	-1.4542	-2.8602	0.0028836	0.065463	0.004234	0.1064
F11	4	-0.054643	-0.41939	0.97972	0.99666	0.67493	0.80462
TXNDC17	4	-0.18728	-1.8855	0.65288	0.93141	0.059362	0.45376
GNB2	4	0.29504	1.3528	0.05792	0.385	0.17613	0.50038
CMTR1	4	-0.8901	-2.1935	0.036243	0.29277	0.028274	0.32387
ITM2A	4	0.021061	0.28838	0.71304	0.94349	0.77306	0.87028
ZNF727	4	-0.057621	-0.53456	0.99055	0.9988	0.59296	0.75105
NFU1	4	-0.62654	-1.7255	0.11405	0.53016	0.084435	0.5
YWHAB	4	0.18956	1.0764	0.20349	0.65688	0.28174	0.55062
GET4	4	-0.76017	-1.649	0.064134	0.403	0.099154	0.5
CRABP1	4	0.25555	1.3192	0.0965	0.48842	0.18709	0.50162
RASSF4	4	0.022164	0.30862	0.70881	0.94305	0.75761	0.86065
ANKLE1	4	0.0036631	0.034233	0.77319	0.95446	0.97269	0.98603
FBXO10	4	0.24795	1.2437	0.1056	0.51095	0.21361	0.50947
GPAT2	4	-0.54624	-2.224	0.16123	0.60586	0.026148	0.31179
SPAST	4	0.032339	0.23102	0.67272	0.93627	0.8173	0.89624
FEM1B	4	0.038271	0.25496	0.65009	0.93056	0.79876	0.88529
HDAC6	4	0.1007	0.50519	0.43626	0.83819	0.61342	0.76144
SPATA25	4	0.12727	1.0135	0.35428	0.79064	0.31081	0.57208
CCBE1	4	0.24392	1.1208	0.11097	0.52333	0.26238	0.53816
GNL2	4	-1.0546	-2.9568	0.017649	0.19755	0.0031085	0.088686
BTN3A2	4	0.21419	1.4277	0.1572	0.59951	0.15337	0.5
C22orf15	4	-0.16649	-1.3747	0.70016	0.9422	0.16922	0.5
SAA4	4	0.04512	0.35031	0.62504	0.92398	0.72611	0.83869
SMAP2	4	0.15869	1.1065	0.27135	0.7287	0.2685	0.54244
NFIC	4	-0.63353	-1.2886	0.11047	0.52268	0.19755	0.50359
PLEKHG4	4	0.065611	0.46249	0.55439	0.89487	0.64373	0.78273
S100A3	4	-0.10571	-1.4831	0.86079	0.97215	0.13806	0.5
C4orf45	4	0.46431	1.2922	0.0053694	0.093562	0.19628	0.50354
HDGFL1	4	0.1343	1.3774	0.33444	0.77682	0.16839	0.5
GALNT13	4	0.18907	1.2996	0.20468	0.65814	0.19373	0.50294
PLP1	4	0.2476	1.5111	0.10614	0.51285	0.13075	0.5
METAP1	4	-0.92524	-2.7847	0.030625	0.26713	0.0053583	0.12373
HSDL1	4	-0.06452	-1.3428	0.98842	0.9988	0.17935	0.50061
WDR45	4	-0.060419	-0.87631	0.99886	0.9997	0.38086	0.62622
KRTAP12-2	4	0.043616	0.26246	0.6309	0.92622	0.79296	0.88212
DPF1	4	-0.96812	-2.7267	0.025753	0.24376	0.0063966	0.13835
SHROOM3	4	0.079096	0.52627	0.50815	0.87575	0.5987	0.75373
TBC1D19	4	0.26898	1.0651	0.079845	0.44586	0.28684	0.5545
SDC1	4	0.1073	1.0876	0.41568	0.82718	0.27678	0.54817
SLC4A9	4	0.10769	0.7637	0.41444	0.82613	0.44505	0.67816
CATSPERG	4	-0.54776	-1.6793	0.15999	0.60421	0.093085	0.5
UBALD1	4	-0.34759	-1.0885	0.36626	0.79754	0.27635	0.54782
OR6V1	4	-0.025528	-0.24504	0.87805	0.97499	0.80643	0.88954
HNRNPU	4	-1.3799	-3.1914	0.003679	0.073926	0.0014156	0.056162
IDH3B	4	-0.42986	-2.2261	0.26355	0.72181	0.02601	0.31104
KRT6A	4	0.2179	1.1579	0.15094	0.59193	0.24689	0.52814
NUP155	4	-2.3984	-3.745	9.9433e-05	0.0097087	0.00018038	0.015117
DPYS	4	0.17109	0.94357	0.24197	0.69858	0.34539	0.59812
GSE1	4	-0.17122	-1.4023	0.68962	0.93932	0.16084	0.5
SULT4A1	4	0.2111	1.4612	0.16203	0.60678	0.14395	0.5
SCGB1D2	4	0.044004	0.68089	0.62961	0.92607	0.49594	0.71513
CCL8	4	0.28063	1.3204	0.068758	0.41719	0.18669	0.50162
CXorf40B	4	-0.056678	-0.8785	0.98742	0.99864	0.37967	0.62516
RIIAD1	4	-0.17835	-1.1309	0.67237	0.93627	0.25812	0.5349
PDE6C	4	0.27947	1.5459	0.0701	0.42228	0.12212	0.5
MRPL16	4	-1.0485	-2.2252	0.018196	0.20143	0.02607	0.31138
PLA2G4E	4	0.033369	0.47059	0.66904	0.93595	0.63793	0.77832
PSMD6	4	-1.4672	-2.5644	0.0026847	0.063084	0.010337	0.18367
SPATA6	4	0.17756	1.2555	0.22855	0.68489	0.20928	0.50742
COMMD5	4	-0.28908	-1.727	0.45516	0.84776	0.084171	0.5
MCEMP1	4	0.19374	1.546	0.19479	0.64665	0.12209	0.5
PRB4	4	0.061913	0.38315	0.56573	0.90059	0.70161	0.82344
CLDND2	4	-0.23523	-1.2237	0.55061	0.89315	0.22105	0.51325
ZCCHC11	4	-0.31135	-1.4193	0.41752	0.82788	0.1558	0.5
AQP12A	4	-0.13223	-0.96801	0.78677	0.95699	0.33304	0.58972
PET100	4	-0.594	-1.8362	0.1308	0.56074	0.066335	0.47619
SCML4	4	0.20676	1.2803	0.17063	0.61826	0.20042	0.50427
MBD6	4	-0.52919	-2.3903	0.17167	0.61847	0.016836	0.24436
CA4	4	-0.0062068	-0.031523	0.80998	0.96266	0.97485	0.98722
ANAPC7	4	0.24731	1.5273	0.10669	0.51426	0.12669	0.5
KCNK5	4	-0.34743	-1.8071	0.36641	0.79754	0.070739	0.48844
AMOT	4	0.30954	1.2979	0.046435	0.33828	0.19431	0.50295
SAP130	4	-0.83251	-2.3486	0.046932	0.34104	0.018845	0.26141
TMC3	4	0.24321	1.3451	0.11211	0.52662	0.1786	0.50061
HSCB	4	-1.762	-2.8659	0.00054688	0.022358	0.0041587	0.10522
C22orf29	4	-0.060919	-1.1121	0.99955	0.9998	0.26607	0.54081
CEP76	4	-0.15115	-1.6027	0.73695	0.94807	0.10899	0.5
OSER1	4	0.067018	0.14991	0.54967	0.89292	0.88083	0.93374
SEPT7	4	-1.8227	-3.5956	0.00034802	0.015766	0.00032366	0.021994
RRM1	4	-2.1553	-4.0086	0.00014915	0.0097087	6.1068e-05	0.008697
RYK	4	0.19394	1.3157	0.19459	0.64665	0.18827	0.50162
ZYG11A	4	0.071735	0.40397	0.53346	0.88486	0.68623	0.81255
WDR62	4	-0.088375	-0.81973	0.9121	0.98112	0.41237	0.65117
KIAA1024	4	-0.11308	-0.5176	0.83981	0.96969	0.60474	0.75668
CRYBB3	4	-0.21231	-1.5068	0.59779	0.91215	0.13185	0.5
D2HGDH	4	-0.13615	-1.4588	0.77637	0.95535	0.14463	0.5
AASDHPPT	4	-1.2673	-2.3391	0.0058168	0.097338	0.019331	0.26541
ZNF559-ZNF177	4	0.31672	1.2264	0.041364	0.31659	0.22006	0.51296
DZIP3	4	0.12512	1.3319	0.36025	0.79243	0.1829	0.50156
PCGF5	4	0.24268	1.5336	0.11266	0.52771	0.12513	0.5
GNL1	4	-0.032604	-0.3199	0.90295	0.98003	0.74904	0.85429
GAL3ST1	4	-0.125	-0.91818	0.80635	0.96245	0.35852	0.60816
TOR1B	4	0.015929	0.119	0.73113	0.9467	0.90527	0.94836
NMRK1	4	0.14122	1.1495	0.31684	0.76516	0.25035	0.52884
OR8B3	4	0.21501	1.4192	0.15571	0.59725	0.15584	0.5
SPZ1	4	-0.19553	-0.84784	0.63428	0.92634	0.39653	0.63888
TNIK	4	-0.030484	-0.4164	0.8954	0.97849	0.67712	0.80592
SLC45A2	4	0.1741	1.5554	0.23591	0.6926	0.11986	0.5
DHRS2	4	-0.2803	-1.8422	0.46883	0.85556	0.065448	0.47319
RAET1G	4	0.01041	0.11541	0.74898	0.94943	0.90812	0.95031
ASNS	4	0.20459	1.3434	0.17411	0.62077	0.17916	0.50061
FOXB2	4	-0.020198	-0.28391	0.86089	0.97215	0.77648	0.87253
POLR3GL	4	-0.14755	-1.151	0.74645	0.94893	0.24973	0.52877
CENPL	4	-0.94611	-2.495	0.027792	0.25259	0.012595	0.20748
XRCC3	4	-1.6802	-3.0411	0.0011435	0.038591	0.0023569	0.076586
