Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nCPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nCPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific pTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cutaneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SKIDA1	"C10orf140, FLJ45187"	ENSG00000180592	"SKI/DACH domain containing 1"	Q1XH10	10	21513475-21526368	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in some"			"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 15.7;Early spermatids: 22.0;Hepatocytes: 13.2;Late spermatids: 26.2;Retinal bipolar cells: 17.1"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 7.2"	"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039208, HPA040439"	Uncertain		Approved	"Nucleoplasm,Nuclear bodies,Cytosol"			NA	NA				"Cluster 76: Non-specific - Metabolism"	"Cluster 53: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 86: Retinal bipolar cells - Synaptic signal transduction"	1	"Nuclear bodies"	"Nucleoplasm, Cytosol"	"HPA039208: , HPA040439: "								"unprognostic (8.20e-2)"					"unprognostic (4.02e-3)"							"unprognostic (3.37e-1)"									"unprognostic (1.81e-1)"	"unprognostic (7.05e-2)"	
SLC16A2	"AHDS, DXS128, DXS128E, MCT7, MCT8, MRX22, XPCT"	ENSG00000147100	"Solute carrier family 16 member 2"	P36021	X	74421493-74533917	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 38.1"	"Cell type enriched"	"Detected in many"	4	"Pituitary stem cells: 500.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 66.9"	"Adrenal gland - Adrenal cortex cells, Heart muscle - Fibroblasts, Liver - Hepatocytes, Pituitary gland - Undifferentiated cells (Pituitary gland), Prostate - Fibroblasts, Stomach - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA072719			Approved	"Plasma membrane"			NA	NA				"Cluster 76: Non-specific - Metabolism"	"Cluster 29: Forebrain - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 91: Pituicytes/FSC - Homeostasis & neuron support"	5	"Plasma membrane"		"HPA072719: "	"unprognostic (2.33e-2)"	"potential prognostic unfavorable (2.75e-4)"	"unprognostic (9.31e-2)"	"unprognostic (2.12e-2)"	"unprognostic (9.04e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.79e-1)"	"unprognostic (3.65e-2)"	"unprognostic (2.10e-2)"	"unprognostic (2.78e-2)"	"potential prognostic favorable (4.27e-5)"	"unprognostic (1.41e-2)"	"unprognostic (5.71e-3)"	"unprognostic (5.48e-2)"	"unprognostic (3.64e-2)"	"unprognostic (1.20e-1)"	"unprognostic (6.54e-3)"	"unprognostic (1.12e-1)"	"unprognostic (2.28e-2)"	"unprognostic (5.07e-2)"	"unprognostic (5.54e-2)"	"unprognostic (6.77e-2)"	"unprognostic (5.98e-3)"	"unprognostic (2.68e-1)"	"unprognostic (6.37e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.66e-1)"	"unprognostic (8.42e-2)"	"unprognostic (1.09e-1)"	"unprognostic (5.17e-3)"	"unprognostic (1.73e-1)"
SLC22A5	"CDSP, OCTN2, SCD"	ENSG00000197375	"Solute carrier family 22 member 5"	O76082	5	132369710-132395613	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skeletal muscle: 33.7"	"Cell type enriched"	"Detected in many"	5	"Proximal tubule cells: 548.0"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 114.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Mesothelial cells, Breast - Breast glandular cells, Breast - Breast glandular cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA063062			Approved	Mitochondria			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 88: Proximal tubular cells - Transmembrane transport"	8	Mitochondria		"HPA063062: "	"unprognostic (1.56e-3)"	"unprognostic (7.50e-2)"	"unprognostic (9.67e-2)"	"unprognostic (2.58e-1)"	"unprognostic (4.00e-3)"	"unprognostic (5.27e-2)"	"unprognostic (3.32e-2)"	"unprognostic (1.35e-2)"	"unprognostic (1.64e-1)"	"unprognostic (8.35e-2)"	"potential prognostic favorable (3.39e-8)"	"unprognostic (2.45e-3)"	"potential prognostic favorable (5.27e-5)"	"unprognostic (3.11e-3)"	"unprognostic (2.57e-1)"	"unprognostic (7.29e-2)"	"unprognostic (1.01e-1)"	"unprognostic (3.57e-1)"	"unprognostic (1.92e-1)"	"unprognostic (3.21e-1)"	"unprognostic (3.62e-1)"	"potential prognostic favorable (8.16e-4)"	"unprognostic (2.44e-1)"	"unprognostic (1.15e-1)"	"unprognostic (9.56e-3)"	"unprognostic (5.84e-2)"	"unprognostic (3.31e-1)"	"unprognostic (4.69e-2)"	"unprognostic (2.79e-1)"	"unprognostic (8.00e-2)"	"unprognostic (2.02e-1)"
SLC25A44	"FLJ90431, KIAA0446"	ENSG00000160785	"Solute carrier family 25 member 44"	Q96H78	1	156193932-156212796	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 164.3;Endometrial luminal cells: 87.9;Late spermatids: 147.3;Neutrophils: 116.7;Salivary basal cells: 170.6;Salivary myoepithelial cells: 151.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 71.4"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Spleen - Neutrophils_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA065411			Approved	Nucleoplasm,Mitochondria			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 1: Neurons - Mixed function"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 103: Non-specific - Basic cellular processes"		Mitochondria	Nucleoplasm	"HPA065411: "	"unprognostic (4.65e-2)"	"unprognostic (3.91e-2)"	"unprognostic (2.03e-1)"	"unprognostic (1.21e-1)"	"unprognostic (6.92e-2)"	"unprognostic (6.09e-2)"	"unprognostic (3.78e-1)"	"unprognostic (2.34e-2)"	"unprognostic (2.26e-1)"	"unprognostic (5.65e-3)"	"potential prognostic favorable (2.28e-5)"	"unprognostic (5.43e-2)"	"unprognostic (1.47e-1)"	"unprognostic (5.49e-2)"	"unprognostic (2.70e-1)"	"unprognostic (4.46e-2)"	"unprognostic (1.75e-1)"	"unprognostic (8.87e-2)"	"unprognostic (3.76e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.73e-1)"	"potential prognostic favorable (1.55e-4)"	"unprognostic (1.22e-1)"	"unprognostic (1.13e-1)"	"unprognostic (4.15e-2)"	"unprognostic (7.15e-3)"	"unprognostic (2.27e-1)"	"unprognostic (1.89e-1)"	"unprognostic (5.27e-1)"	"unprognostic (7.12e-2)"	"unprognostic (1.23e-1)"
SLC2A9	"Glut9, GLUTX, URATv1"	ENSG00000109667	"Solute carrier family 2 member 9"	Q9NRM0	4	9771153-10054936	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 27.3;liver: 20.0"	"Cell type enriched"	"Detected in many"	9	"Proximal tubule cells: 1694.5"	"Cell type enhanced"	"Detected in all"		"central nervous system macrophage: 129.3"	"Cancer enhanced"	"Detected in all"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 33.8"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"classical monocyte: 36.9;myeloid DC: 30.5"	"Group enriched"	"Detected in many"	30	"dendritic cells: 30.5;monocytes: 36.9"	"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 14.0;head and neck cancer: 11.5"	"Adipose visceral - Macrophages, Breast - Breast myoepithelial cells, Kidney - Proximal tubular cells, Skin - Outer root sheath cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA066229, HPA075669"	Enhanced						NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 88: Proximal tubular cells - Transmembrane transport"	3			"HPA066229: , HPA075669: "	"unprognostic (1.77e-1)"	"unprognostic (1.80e-1)"	"unprognostic (9.02e-2)"	"unprognostic (6.68e-2)"	"unprognostic (1.56e-2)"	"unprognostic (4.89e-1)"	"unprognostic (4.80e-3)"	"unprognostic (1.40e-1)"	"unprognostic (1.09e-2)"	"unprognostic (4.23e-1)"	"potential prognostic favorable (2.15e-11)"	"unprognostic (1.75e-3)"	"unprognostic (2.31e-3)"	"unprognostic (1.09e-1)"	"unprognostic (1.42e-2)"	"unprognostic (3.08e-2)"	"unprognostic (1.47e-1)"	"unprognostic (1.57e-1)"	"unprognostic (3.38e-2)"	"potential prognostic unfavorable (4.29e-4)"	"unprognostic (1.29e-1)"	"unprognostic (2.52e-1)"	"unprognostic (1.96e-1)"	"unprognostic (3.52e-1)"	"unprognostic (1.28e-2)"	"unprognostic (1.51e-3)"	"unprognostic (1.89e-1)"	"unprognostic (6.72e-2)"	"unprognostic (1.83e-2)"	"potential prognostic unfavorable (2.60e-4)"	"unprognostic (1.73e-1)"
SLC35B1	"AXER, UGTREL1"	ENSG00000121073	"Solute carrier family 35 member B1"	P78383	17	49700934-49709014	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Antiport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Enterocytes: 129.1;Epididymal principal cells: 156.4;Extravillous trophoblasts: 157.8;Plasma cells: 139.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA048655, HPA057418"	Approved		Supported	"Endoplasmic reticulum,Vesicles"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 8: Non-specific - Secretory pathway"	21	"Endoplasmic reticulum"	Vesicles	"HPA048655: , HPA057418: "	"unprognostic (1.36e-2)"	"unprognostic (1.81e-2)"	"unprognostic (8.88e-2)"	"unprognostic (3.52e-2)"	"potential prognostic favorable (1.92e-5)"	"unprognostic (8.84e-2)"	"unprognostic (1.28e-1)"	"unprognostic (4.62e-2)"	"unprognostic (9.30e-2)"	"potential prognostic unfavorable (1.52e-4)"	"potential prognostic favorable (3.05e-4)"	"unprognostic (1.19e-1)"	"unprognostic (3.26e-1)"	"unprognostic (1.17e-2)"	"potential prognostic unfavorable (8.05e-4)"	"unprognostic (4.71e-2)"	"unprognostic (9.22e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.97e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.58e-1)"	"unprognostic (7.33e-2)"	"unprognostic (1.14e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.02e-1)"	"unprognostic (8.13e-2)"	"unprognostic (2.77e-1)"	"unprognostic (4.40e-2)"	"unprognostic (7.72e-2)"	"unprognostic (3.04e-1)"	"unprognostic (2.65e-1)"
SLC38A2	"ATA2, KIAA1382, SAT2, SNAT2"	ENSG00000134294	"Solute carrier family 38 member 2"	Q96QD8	12	46358188-46372773	"Essential proteins, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Ion transport, Sodium transport, Symport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Basal keratinocytes: 1107.2;Suprabasal keratinocytes: 912.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035180, HPA069672"	Approved		Supported	"Plasma membrane"			NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 76: Non-specific - Metabolism"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 26: Keratinocytes - Keratinization"	10	"Plasma membrane"		"HPA035180: , HPA069672: "	"unprognostic (3.25e-1)"	"unprognostic (2.34e-3)"	"unprognostic (1.36e-2)"	"unprognostic (2.68e-3)"	"unprognostic (2.81e-1)"	"unprognostic (2.52e-1)"	"unprognostic (1.78e-1)"	"unprognostic (4.27e-1)"	"unprognostic (8.47e-2)"	"unprognostic (2.64e-2)"	"unprognostic (1.90e-3)"	"unprognostic (1.92e-1)"	"unprognostic (2.69e-1)"	"unprognostic (9.02e-2)"	"unprognostic (8.21e-2)"	"potential prognostic unfavorable (1.52e-4)"	"unprognostic (2.58e-2)"	"unprognostic (2.74e-1)"	"unprognostic (7.78e-2)"	"unprognostic (2.48e-1)"	"unprognostic (1.68e-1)"	"unprognostic (2.10e-2)"	"potential prognostic unfavorable (2.02e-4)"	"unprognostic (7.07e-2)"	"unprognostic (1.25e-1)"	"unprognostic (2.27e-1)"	"unprognostic (4.40e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.19e-2)"
SLC7A2	"ATRC2, CAT-2, HCAT2"	ENSG00000003989	"Solute carrier family 7 member 2"	P52569	8	17497088-17570573	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 165.3;parathyroid gland: 210.8"	"Cell type enhanced"	"Detected in many"		"Endometrial glandular cells: 574.1;Endometrial luminal cells: 257.0;Epicardial cells: 482.1;Fallopian secretory cells: 278.6;Fallopian tube ciliated cells: 329.1;Hepatocytes: 379.7;Myonuclei: 662.0;Pancreatic acinar cells: 609.1;Pancreatic islet cells: 621.3;Pericytes: 288.9;Vascular smooth muscle cells: 304.9"	"Cell type enhanced"	"Detected in many"		"astrocyte: 94.1;fibroblast: 129.3"	"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 55.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA009277			Supported	"Plasma membrane,Cell Junctions"			NA	NA				"Cluster 76: Non-specific - Metabolism"	"Cluster 8: Immune cells - Immune response"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 51: Secretory epithelial cells - Mixed function"	5	"Plasma membrane"	"Cell Junctions"	"HPA009277: "	"unprognostic (2.64e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.10e-2)"	"unprognostic (1.59e-1)"		"unprognostic (6.90e-3)"	"unprognostic (1.99e-1)"	"unprognostic (1.21e-1)"	"unprognostic (2.14e-2)"	"unprognostic (4.34e-3)"	"unprognostic (4.32e-2)"	"unprognostic (1.08e-2)"	"unprognostic (1.29e-2)"	"unprognostic (1.27e-2)"	"unprognostic (1.17e-1)"	"unprognostic (2.72e-1)"	"unprognostic (4.98e-2)"	"unprognostic (6.61e-2)"	"unprognostic (8.49e-2)"	"unprognostic (2.96e-1)"	"unprognostic (3.73e-1)"	"unprognostic (1.26e-2)"	"unprognostic (8.72e-2)"	"unprognostic (2.27e-2)"	"unprognostic (1.19e-2)"	"unprognostic (9.94e-2)"	"unprognostic (3.59e-2)"	"potential prognostic unfavorable (1.16e-4)"	"unprognostic (4.95e-2)"	"unprognostic (2.59e-1)"	"unprognostic (5.91e-2)"
SMIM7	"C19orf42, MGC2747"	ENSG00000214046	"Small integral membrane protein 7"	Q9BQ49	19	16630751-16660442	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Late primary spermatocytes: 44.2"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043127	Uncertain		Approved	"Golgi apparatus"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 76: Non-specific - Metabolism"	"Cluster 27: Non-specific - Mixed function"	"Cluster 23: Non-specific - Transcription"	"Cluster 67: Plasma cells - Plasma cell differentiation"		"Golgi apparatus"		"HPA043127: "	"unprognostic (6.50e-2)"	"unprognostic (3.20e-1)"		"unprognostic (1.40e-3)"	"unprognostic (2.44e-1)"	"unprognostic (4.31e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.58e-2)"	"unprognostic (3.00e-2)"	"unprognostic (1.88e-1)"	"potential prognostic favorable (3.44e-8)"	"unprognostic (5.08e-2)"	"unprognostic (1.34e-1)"	"unprognostic (9.18e-2)"		"unprognostic (4.51e-2)"	"unprognostic (2.52e-1)"	"unprognostic (1.76e-2)"	"unprognostic (6.13e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.51e-2)"	"unprognostic (1.30e-1)"	"unprognostic (7.22e-2)"	"unprognostic (8.97e-2)"	"unprognostic (3.77e-2)"	"potential prognostic unfavorable (7.20e-4)"	"unprognostic (2.80e-2)"	"unprognostic (2.46e-1)"	"unprognostic (2.26e-2)"	"unprognostic (2.36e-1)"
SNIP1	PML1	ENSG00000163877	"Smad nuclear interacting protein 1"	Q8TAD8	1	37534449-37554293	"Disease related genes, Essential proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing, RNA-mediated gene silencing"		"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Endometrial glandular cells: 106.0;Neutrophils: 107.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA036896	Approved		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 76: Non-specific - Metabolism"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 29: Neutrophils - Innate immune cellular maintenance"	96	Nucleoplasm	Cytosol	"HPA036896: "	"unprognostic (1.81e-2)"	"unprognostic (3.43e-2)"	"unprognostic (8.56e-3)"	"unprognostic (2.06e-2)"	"unprognostic (8.77e-2)"	"unprognostic (1.62e-1)"	"unprognostic (2.11e-1)"	"unprognostic (9.61e-2)"	"unprognostic (1.73e-1)"	"unprognostic (4.48e-2)"	"validated prognostic favorable (3.66e-5)"	"validated prognostic favorable (2.34e-4)"	"unprognostic (8.90e-2)"	"unprognostic (2.60e-2)"	"unprognostic (4.32e-2)"	"unprognostic (2.23e-1)"	"unprognostic (3.69e-1)"	"unprognostic (1.67e-1)"	"unprognostic (1.15e-1)"	"unprognostic (4.25e-3)"	"unprognostic (2.55e-2)"	"unprognostic (5.82e-2)"	"unprognostic (5.26e-2)"	"potential prognostic unfavorable (5.97e-4)"	"unprognostic (3.11e-2)"	"unprognostic (3.99e-2)"	"unprognostic (7.21e-2)"	"unprognostic (7.02e-3)"	"unprognostic (1.30e-1)"	"unprognostic (7.00e-2)"	"unprognostic (7.87e-2)"
